region,assortment,quarter,price_sek_m3
Entire country,Pulpwood of broadleaved trees,2025Q4,618
Entire country,Pulpwood of broadleaved trees,2026Q1,621
Entire country,Pulpwood of broadleaved trees,2026Q2 Prel.,568
Entire country,Pulpwood total,2019Q1,348
Entire country,Pulpwood total,2019Q2,348
Entire country,Pulpwood total,2019Q3,330
Entire country,Pulpwood total,2019Q4,319
Entire country,Pulpwood total,2020Q1,316
Entire country,Pulpwood total,2020Q2,307
Entire country,Pulpwood total,2020Q3,288
Entire country,Pulpwood total,2020Q4,281
Entire country,Pulpwood total,2021Q1,284
Entire country,Pulpwood total,2021Q2,286
Entire country,Pulpwood total,2021Q3,288
Entire country,Pulpwood total,2021Q4,297
Entire country,Pulpwood total,2022Q1,307
Entire country,Pulpwood total,2022Q2,334
Entire country,Pulpwood total,2022Q3,361
Entire country,Pulpwood total,2022Q4,422
Entire country,Pulpwood total,2023Q1,447
Entire country,Pulpwood total,2023Q2,465
Entire country,Pulpwood total,2023Q3,498
Entire country,Pulpwood total,2023Q4,511
Entire country,Pulpwood total,2024Q1,524
Entire country,Pulpwood total,2024Q2,550
Entire country,Pulpwood total,2024Q3,581
Entire country,Pulpwood total,2024Q4,612
Entire country,Pulpwood total,2025Q1,682
Entire country,Pulpwood total,2025Q2,729
Entire country,Pulpwood total,2025Q3,681
Entire country,Pulpwood total,2025Q4,664
Entire country,Pulpwood total,2026Q1,643
Entire country,Pulpwood total,2026Q2 Prel.,594
